ax,ay,az,gx,gy,gz,label
5.0,-241.0,-88.0,-47.0,268.0,24.0,1
4.0,-241.0,-90.0,-48.0,264.0,28.0,1
6.0,-244.0,-87.0,-49.0,259.0,26.0,1
4.0,-241.0,-91.0,-49.0,254.0,28.0,1
3.0,-239.0,-90.0,-51.0,243.0,28.0,1
7.0,-242.0,-89.0,-55.0,237.0,28.0,1
9.0,-241.0,-88.0,-58.0,231.0,26.0,1
7.0,-242.0,-89.0,-62.0,223.0,27.0,1
9.0,-246.0,-86.0,-64.0,215.0,25.0,1
7.0,-241.0,-90.0,-67.0,206.0,27.0,1
9.0,-242.0,-90.0,-69.0,200.0,24.0,1
10.0,-246.0,-90.0,-71.0,196.0,27.0,1
12.0,-243.0,-88.0,-73.0,191.0,25.0,1
14.0,-241.0,-88.0,-76.0,189.0,27.0,1
13.0,-242.0,-91.0,-77.0,187.0,26.0,1
13.0,-243.0,-92.0,-82.0,182.0,29.0,1
13.0,-239.0,-91.0,-82.0,179.0,28.0,1
14.0,-242.0,-87.0,-82.0,175.0,33.0,1
12.0,-242.0,-88.0,-80.0,173.0,34.0,1
13.0,-242.0,-92.0,-80.0,169.0,40.0,1
13.0,-244.0,-87.0,-81.0,167.0,40.0,1
12.0,-239.0,-89.0,-79.0,163.0,44.0,1
13.0,-242.0,-88.0,-79.0,164.0,45.0,1
15.0,-242.0,-90.0,-79.0,161.0,49.0,1
13.0,-238.0,-86.0,-78.0,159.0,48.0,1
15.0,-241.0,-89.0,-81.0,156.0,49.0,1
15.0,-238.0,-91.0,-83.0,156.0,45.0,1
15.0,-240.0,-90.0,-84.0,156.0,44.0,1
17.0,-243.0,-87.0,-84.0,154.0,39.0,1
14.0,-241.0,-86.0,-86.0,154.0,38.0,1
14.0,-242.0,-86.0,-87.0,152.0,32.0,1
16.0,-244.0,-89.0,-87.0,152.0,33.0,1
18.0,-243.0,-90.0,-85.0,153.0,29.0,1
17.0,-246.0,-89.0,-82.0,154.0,31.0,1
20.0,-244.0,-93.0,-82.0,155.0,29.0,1
17.0,-244.0,-92.0,-81.0,155.0,31.0,1
19.0,-248.0,-88.0,-79.0,154.0,30.0,1
16.0,-248.0,-85.0,-75.0,153.0,34.0,1
17.0,-250.0,-90.0,-69.0,154.0,33.0,1
16.0,-247.0,-85.0,-63.0,153.0,36.0,1
15.0,-245.0,-88.0,-57.0,151.0,37.0,1
20.0,-249.0,-87.0,-52.0,148.0,43.0,1
18.0,-247.0,-85.0,-48.0,147.0,42.0,1
17.0,-245.0,-89.0,-43.0,145.0,44.0,1
14.0,-247.0,-88.0,-41.0,140.0,45.0,1
16.0,-244.0,-86.0,-38.0,138.0,49.0,1
15.0,-246.0,-83.0,-34.0,135.0,47.0,1
16.0,-245.0,-84.0,-32.0,133.0,50.0,1
17.0,-246.0,-85.0,-31.0,131.0,49.0,1
15.0,-245.0,-87.0,-29.0,128.0,51.0,1
14.0,-247.0,-85.0,-27.0,124.0,52.0,1
12.0,-245.0,-83.0,-23.0,120.0,51.0,1
15.0,-247.0,-79.0,-22.0,116.0,53.0,1
14.0,-242.0,-84.0,-20.0,112.0,53.0,1
14.0,-247.0,-83.0,-18.0,108.0,54.0,1
15.0,-248.0,-83.0,-16.0,102.0,55.0,1
15.0,-249.0,-85.0,-15.0,97.0,54.0,1
15.0,-247.0,-84.0,-15.0,95.0,54.0,1
15.0,-248.0,-82.0,-14.0,90.0,53.0,1
13.0,-247.0,-83.0,-10.0,88.0,52.0,1
