ax,ay,az,gx,gy,gz,label
-3.0,-246.0,27.0,54.0,6.0,-4.0,0
-6.0,-247.0,24.0,50.0,6.0,-3.0,0
-2.0,-244.0,24.0,47.0,7.0,-1.0,0
-3.0,-242.0,22.0,40.0,10.0,-1.0,0
-5.0,-247.0,20.0,33.0,11.0,-2.0,0
-5.0,-247.0,22.0,28.0,13.0,-3.0,0
-4.0,-247.0,26.0,25.0,14.0,-4.0,0
-6.0,-248.0,27.0,24.0,16.0,-5.0,0
-6.0,-246.0,23.0,27.0,14.0,-6.0,0
-5.0,-247.0,25.0,30.0,14.0,-6.0,0
-4.0,-252.0,24.0,33.0,12.0,-7.0,0
-2.0,-249.0,25.0,37.0,13.0,-8.0,0
-5.0,-247.0,21.0,39.0,13.0,-8.0,0
-4.0,-244.0,21.0,42.0,13.0,-9.0,0
-5.0,-246.0,20.0,44.0,14.0,-10.0,0
-4.0,-245.0,26.0,46.0,15.0,-7.0,0
-8.0,-253.0,28.0,47.0,14.0,-8.0,0
-3.0,-246.0,24.0,47.0,14.0,-6.0,0
0.0,-248.0,22.0,49.0,12.0,-7.0,0
-2.0,-246.0,22.0,51.0,8.0,-4.0,0
-5.0,-247.0,23.0,53.0,4.0,-3.0,0
-2.0,-245.0,23.0,53.0,2.0,-3.0,0
-11.0,-243.0,25.0,54.0,3.0,-3.0,0
-7.0,-247.0,24.0,53.0,3.0,-2.0,0
-1.0,-247.0,23.0,51.0,4.0,-2.0,0
-8.0,-246.0,29.0,50.0,3.0,-2.0,0
-8.0,-249.0,21.0,46.0,4.0,-5.0,0
-7.0,-247.0,27.0,46.0,4.0,-5.0,0
-7.0,-242.0,25.0,49.0,5.0,-5.0,0
-1.0,-250.0,22.0,52.0,7.0,-6.0,0
-4.0,-249.0,22.0,56.0,8.0,-7.0,0
-3.0,-247.0,25.0,60.0,7.0,-9.0,0
-1.0,-248.0,23.0,59.0,5.0,-10.0,0
-3.0,-247.0,17.0,56.0,3.0,-10.0,0
-5.0,-244.0,23.0,51.0,-1.0,-10.0,0
-2.0,-245.0,28.0,45.0,-4.0,-8.0,0
-2.0,-244.0,24.0,42.0,-6.0,-7.0,0
-9.0,-244.0,31.0,40.0,-5.0,-6.0,0
-2.0,-246.0,26.0,36.0,-7.0,-5.0,0
